,MovieCode,MovieName,CompanyName,BestScreenNum,AverageShare,TotalScreenNum,TotalAudienceNum
119,20180789,한 솔로: 스타워즈 스토리,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,569,0.09374615384615384,5781,211374
120,20184132,"세라비, 이것이 인생!",(주)디스테이션  ,5,0.0008,7,3051
121,20184513,위 베어 베어스: 베이비 베어스,(주)팝엔터테인먼트  Pop Entertainment,301,0.054849999999999996,591,13114
122,20173865,데자뷰,씨네그루(주)키다리이엔티  KIDARI ENT,536,0.0846375,3188,47325
123,20176053,"스탠바이, 웬디",판씨네마(주)  Pancinema Corp.,345,0.07014285714285713,2307,38115
124,20179106,겨울왕국의 무민,(주)팝엔터테인먼트  Pop Entertainment,2,0.0004,2,24559
125,20178161,탐정: 리턴즈,씨제이이앤엠(주)  CJ ENM Corp.,1137,0.14892820512820523,25122,3142086
126,20184668,디트로이트,그린나래미디어(주)  ,108,0.02305,411,16992
127,20180943,꼬마영웅 바비,와이드 릴리즈(주)  Wide Release,317,0.060450000000000004,630,15094
128,20179086,쥬라기 월드: 폴른 킹덤,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,1972,0.21229714285714293,31469,5648970
129,20135305,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,(주)이수C&E  ,588,0.08695555555555555,3450,173368
130,20185081,아이 필 프리티,(주)홈초이스  HOME CHOICE,213,0.03700454545454544,3412,233265
131,20184261,벅스 프렌즈,(주)스톰픽쳐스코리아  STORM PICTURES KOREA,262,0.043899999999999995,808,30713
132,20184782,호비와 매직 아일랜드,(주)머스트씨무비릴리징컴퍼니  ,114,0.0233,214,9216
133,20184801,유전,(주)팝엔터테인먼트  Pop Entertainment,422,0.06006428571428573,3433,156693
134,20184903,오션스8,워너브러더스 코리아(주)  Warner Bros. Korea,837,0.11084827586206898,13775,1330940
135,20184845,미드나잇 선,씨네그루(주)키다리이엔티  KIDARI ENT,472,0.042497368421052624,7280,320736
136,20172469,허스토리,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,696,0.05698888888888888,6810,316007
137,20184101,여중생A,"롯데컬처웍스(주)롯데엔터테인먼트  Lotte Cultureworks Lotte Entertainment Co.,Ltd",479,0.06379230769230768,3659,84138
138,20090834,아바타,주식회사 해리슨앤컴퍼니  Harrison & Company,68,0.012799999999999999,348,13326826
139,20184512,토니스토리2: 고철왕국의 친구들,(주)박수엔터테인먼트  Boxoo Entertainment  ,268,0.05253333333333334,714,12415
140,20174369,변산,메가박스중앙(주)플러스엠  Megabox Plus M,763,0.10401666666666666,8107,464827
141,20175527,더 펜션,(주)영화사오원  ,6,0.0016,6,1131
142,20184699,바르다가 사랑한 얼굴들,(주)영화사 진진  JINJIN Pictures,53,0.012133333333333335,156,5966
143,20184762,류이치 사카모토: 코다,"주식회사 씨네룩스  CINE LUX Co., Ltd.",47,0.0122,47,3082
144,20184689,아일라,(주)영화사 빅  Big Film,371,0.06735714285714288,2141,31622
145,20185341,마녀,워너브러더스 코리아(주)  Warner Bros. Korea,1117,0.14582499999999998,23689,3186430
146,20185648,유니콘 원정대: 비밀의 다이어리,(주)팝엔터테인먼트  Pop Entertainment,235,0.04645,457,11579
147,20182001,개들의 섬,이십세기폭스코리아(주)  20th Century Fox Korea,109,0.024149999999999998,213,18118
148,20184721,시카리오: 데이 오브 솔다도,㈜코리아스크린  Korea Screen Inc.,261,0.0416875,2976,217370
149,20162002,명탐정 코난: 순흑의 악몽,씨제이이앤엠(주)  CJ ENM Corp.,18,0.0037,52,521028
150,20185001,빅샤크: 매직체인지,와이드 릴리즈(주)  Wide Release,414,0.040717647058823525,3122,124908
151,20180522,앤트맨과 와스프,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,1775,0.2011757575757576,29716,5444801
152,20184904,드래곤 프린세스,(주)박수엔터테인먼트  Boxoo Entertainment  ,194,0.041,194,6149
153,20181443,스카이스크래퍼,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,831,0.15875714285714287,9816,996099
154,20182564,"오늘 밤, 로맨스 극장에서",(주)디스테이션  ,155,0.0353,593,20113
155,20175221,킬링 디어,오드  AUD,68,0.012039999999999995,526,52337
156,20180282,속닥속닥,(주)그노스  ,314,0.04961999999999999,2196,212507
157,20185599,꼬마 보트 토토: 타요 타요 배 타요,(주)팝엔터테인먼트  Pop Entertainment,271,0.0608,271,12245
158,20181181,미션 임파서블: 폴아웃,"롯데컬처웍스(주)롯데엔터테인먼트  Lotte Cultureworks Lotte Entertainment Co.,Ltd",1957,0.1279857142857142,27864,6573512
159,20167904,라라랜드,판씨네마(주)  Pancinema Corp.,60,0.0147,60,3582015
160,20183361,인크레더블 2,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,1605,0.14511428571428575,20238,3006087
161,20188042,독전: 익스텐디드 컷,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,398,0.07064285714285713,2371,133342
162,20185621,호텔 아르테미스,판씨네마(주)  Pancinema Corp.,465,0.09221428571428572,3076,76432
163,20186001,신은 죽지 않았다 3: 어둠 속의 빛,(주)영화사 그램  gram FILMS,179,0.025,1603,66901
164,20186282,이별의 아침에 약속의 꽃을 장식하자,(주)미디어캐슬  ,121,0.023919999999999997,581,27514
165,20170942,인랑,워너브러더스 코리아(주)  Warner Bros. Korea,1085,0.09606666666666666,7380,893165
166,20186202,신과함께-인과 연,"롯데컬처웍스(주)롯데엔터테인먼트  Lotte Cultureworks Lotte Entertainment Co.,Ltd",2235,0.17117800000000005,44124,12264817
167,20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,씨제이이앤엠(주)  CJ ENM Corp.,762,0.0936058823529412,8191,667879
168,20187682,해적왕 작스톰,(주)삼지애니메이션  SAMG Animation,42,0.0083,42,2654
169,20186121,어느 가족,(주)티캐스트  TCast,126,0.015500000000000005,1529,126275
170,20181942,맘마미아!2,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,750,0.08731739130434783,20411,2285895
171,20110027,아이 엠 러브,(주)영화사 진진  JINJIN Pictures,28,0.004824999999999999,101,44753
172,20186501,극장판 헬로카봇 : 백악기 시대,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,758,0.07180526315789473,7179,854230
